Comment,Time,User
Mua từ7/ 2018 den nay. Dùng vẫn còn ok.,Đã dùng khoảng 4 năm,Trịnh Hoàng Yến
tôi mua từ tháng 6 2019 đến giờ mọi thứ đều sài ok chưa thấy lỗi lầm gì nặng còn cạnh viền ít dùng ốp nên xước theo thời gian màn hình thì mình khuyên mọi người k nên dán cường lực dùng thích hơn máy k bị nóng pin dùng ok,Đã dùng khoảng 4 năm,hoàng văn mới
